K\numPuntos,1000,1450,1900,2400
5,33,28,73,46
15,48,46,89,197
25,131,197,313,267
50,361,384,486,461
75,229,637,648,713
100,249,508,1120,1186
125,617,616,784,1477
150,552,719,1112,1939
200,476,806,1930,2455
