262.94,139.515
132.606,27.7339
288.343,159.396
402.67,43.2499
480.441,17.9615
483.387,25.9873
365.902,0.616733
443.367,210.69
133.057,51.6214
184.219,144.246
51.2173,290.861
489.737,277.521
148.999,157.929
373.276,39.8796
150.666,292.706
485.05,240.153
433.903,207.2
242.695,274.778
399.344,286.288
382.29,231.044
411.856,200.189
129.86,8.88122
469.931,107.835
130.988,29.1227
69.6821,285.96
410.276,210.034
67.0635,236.535
418.492,205.662
448.513,48.8495
196.694,295.099
355.605,294.321
417.296,181.058
270.81,171.433
178.759,282.374
473.197,142.49
204.917,20.0731
37.4733,72.4304
391.218,65.6122
383.325,39.8623
50.9918,175.053
475.361,292.617
487.925,29.2537
59.976,140.817
138.001,287.616
448.216,43.6565
17.007,201.631
478.679,158.266
138.58,56.2048
355.558,285.814
183.121,154.362
219.432,113.974
128.123,50.2323
321.938,107.513
452.693,47.2048
64.2014,186.829
285.907,219.421
225.125,294.853
485.05,240.153
144.551,269.284
416.399,281.33
331.915,105.012
19.9726,213.328
403.037,96.1298
11.9373,88.6851
204.607,97.7693
417.782,280.438
64.2014,186.829
466.518,52.5382
488.002,21.3075
233.736,277.798
210.627,121.479
455.394,10.0993
331.657,12.4967
411.504,174.146
204.537,118.556
