k\numPuntos,1000,1150,1300,1450,1600,1750,1900,2050,2200,2400
5,81,128,111,106,149,132,171,157,214,266
15,215,263,266,286,417,343,444,413,598,606
25,326,333,421,467,681,555,731,659,981,1002
50,657,665,834,921,1348,1111,1438,1300,1949,1965
75,962,987,1253,1428,2005,1665,2177,1963,2893,3056
