K\numPuntos,1000,1150,1300,1450,1600,1750,1900,2050,2200,2400
5,72,80,78,78,84,63,75,75,134,91
15,109,113,98,75,77,239,260,243,237,306
25,112,136,170,141,355,386,326,366,394,259
50,256,359,237,319,410,552,432,770,481,535
75,283,325,479,432,480,827,535,620,760,1147
