k\numPuntos,1000,1450,1900,2400
5,16,25,27,94
15,54,58,131,79
25,34,63,81,122
50,114,139,206,176
75,128,259,275,307
100,139,188,316,653
125,193,273,455,516
150,183,273,525,392
200,213,339,560,1103
